deviceType,orientation,swipeDistance,swipeVelocity,dragDistance,dragVelocity
iPhone,Portrait,654,5.827205882,225.2,1.957352941
iPhone,Portrait,652.6,10.72279412,952,0.599862745
iPhone,Portrait,397.2,5.513970588,720.6,0.223529412
iPhone,Portrait,253.6,4.000735294,866.6,0.060090361
iPhone,Portrait,475.4,4.190441176,880.6,0.440422323
iPhone,Portrait,752.4,7.211764706,857,0.386530386
iPhone,Portrait,337.2,5.576470588,939.2,1.308823529
iPhone,Portrait,261,3.447058824,400.8,0.020409982
iPhone,Portrait,360.4,3.226470588,540.8,0.033702409
iPhone,Portrait,431.6,2.972058824,612,0.248885918
iPhone,Portrait,351.4,4.536029412,625.8,0.083065954
iPhone,Portrait,336.4,7.060294118,492,0.541176471
iPhone,Portrait,545.6,7.375,1522.2,0.005882353
iPad,Landscape,613.2,6.485294118,174.8,5.754411765
iPad,Landscape,614.8,4.010294118,1134.4,0.013268465
iPad,Landscape,312.8,3.783823529,217.6,1.205882353
iPhone,Portrait,554,2.591666667,488.8,0.061438526
iPhone,Portrait,832.4,10.53088235,895.6,0.031529412
iPhone,Portrait,604.8,1.894117647,596,0.020810387
iPhone,Portrait,419,5.317647059,576.8,0.119529412
iPhone,Portrait,484,3.489379085,405.2,0.076558385
iPhone,Portrait,262.8,3.380882353,673.2,0.335294118
iPhone,Portrait,364,3.911029412,856.4,0.104913547
iPhone,Portrait,217.8,4.211764706,412.6,0.191176471
iPhone,Portrait,440,6,730.4,0.010440053
iPhone,Portrait,326.8,4.417865796,495.2,2.616148007
iPhone,Portrait,250,2.040441176,447.2,0.134806478
iPad,Portrait,516.8,9.270588235,1592,0.304384226
iPhone,Portrait,731.2,2.366176471,404.4,0.28832309
iPhone,Portrait,454,5.054411765,158.2,1.769117647
iPhone,Portrait,365.8,6.370588235,798.4,0.000735294
iPhone,Portrait,369.6,7.140441176,618.6,0.190441176
iPhone,Portrait,749.2,6.403676471,310.2,1.466911765
iPhone,Portrait,391.8,4.065441176,1527.2,0.465441176
iPhone,Portrait,362.6,6.717647059,687.8,0.811764706
iPhone,Portrait,442.2,4.240441176,786.6,0.324264706
iPhone,Portrait,355.2,6.030882353,587.2,0.128588235
iPhone,Portrait,229,5.173529412,251.8,1.105882353
,,,,,
,Average,449.2789474,5.172610675,670.0368421,0.616889382
,Geometric Mean,1.786317051,,,
,Half of Geometric Mean,0.893158525,,,
,,,,,
,Time in MS (Swipe),86.85729036,,,
,Time in Seconds (Swipe),0.08685729,,,
,,,,,
,Time in MS (Drag),1086.153954,,,
,Time in Seconds (Drag),1.086153954,,,
,,,,,
,Distance Mean,110.3789474,,,
